freq,gain,phase
0.1043081283569336,10.169883604266357,173.9858941773125
0.11920928955078125,10.12952750308557,173.3083810225823
0.11920928955078125,10.113390115521417,173.22814953198977
0.1341104507446289,10.116285634252547,172.47844801652596
0.16391277313232422,10.114826114533384,171.2594141425981
0.17881393432617188,10.122350450861061,170.65435855627877
0.19371509552001953,10.113830573423634,170.05177898661137
0.22351741790771484,10.156506325079008,168.76627292579238
0.25331974029541016,10.14907931072882,167.4617483833586
0.28312206268310547,10.184649037525805,166.14895025280964
0.3129243850708008,10.175525501904641,164.90719820311153
0.35762786865234375,10.181377549566061,163.15753823215135
0.4023313522338867,10.12494224208918,161.28537504295758
0.4470348358154297,10.087677086830416,159.51851571526026
0.5066394805908203,10.004862629641485,157.1683946928671
0.5662441253662109,9.915126495680388,154.96410129397154
0.6258487701416016,9.781261264872269,152.7435903232146
0.7152557373046875,9.605158091176445,149.72457500685076
0.7897615432739258,9.453302964778821,147.29318945065071
0.8940696716308594,9.231471045738507,144.42053361636846
0.998377799987793,9.01044788894001,142.17836761222551
1.1175870895385742,8.780857035826948,140.31277438897695
1.2516975402832031,8.485817583530903,138.40355986559894
1.4156103134155273,8.115110961984403,136.5163568527632
1.5795230865478516,7.720381086327838,135.16559331618842
1.773238182067871,7.226998161268088,134.21993120796608
1.996755599975586,6.670040175165907,134.67976569682662
2.2351741790771484,6.1507937959190055,136.47091616098749
2.518296241760254,5.630261296825999,137.99288547958005
2.816319465637207,5.166692626748186,139.08093945711144
3.159046173095703,4.701263670865444,139.8267645811696
3.546476364135742,4.263455707645264,140.16164408059825
3.978610038757324,3.8458528296054766,140.06941844839008
4.470348358154297,3.4373641088621723,139.47654237526825
5.0067901611328125,3.050455756362955,138.37910235390956
5.617737770080566,2.656739197369782,136.7907045721267
6.303191184997559,2.269786925241572,134.64624235901994
7.078051567077637,1.858092582192155,131.9239270839972
7.942318916320801,1.4228143849532084,128.66953540051472
8.910894393920898,0.9343721473705984,124.8171663726429
9.998679161071777,0.4124166824876212,120.41262263542009
11.220574378967285,-0.20224627462463823,115.97035779019348
12.59148120880127,-0.8785592162909811,111.19945274024523
14.126300811767578,-1.6261760367636569,106.44370495445928
15.854835510253906,-2.4843810417224628,101.57865198033545
17.777085304260254,-3.421190087885715,96.98616957985125
19.95265483856201,-4.457174585009427,92.42919205294407
22.38154411315918,-5.580982304262923,88.22983244786667
25.12335777282715,-6.790162306564518,84.44515804536158
28.178095817565918,-8.05332558341637,80.9676120853685
31.620264053344727,-9.404737332858694,77.94678136899353
35.47966480255127,-10.834412021449735,75.42040889149301
39.81590270996094,-12.338297018348605,73.27869964847345
44.67368125915527,-13.840809364969253,71.57138632908328
50.11260509490967,-15.348205178771646,70.40132263434698
56.236982345581055,-16.914757904099176,69.61356271203387
63.09151649475098,-18.369881034342757,69.12646224575371
70.79541683197021,-19.863182231839925,69.20835090764427
79.43809032440186,-21.29051106486631,69.63679919502033
89.12384510040283,-22.77593271804802,70.30780229072724
100.00169277191162,-24.272904550093553,71.26443680181983
112.20574378967285,-25.67870104025353,72.71117028122539
125.89991092681885,-27.04415650540795,74.56539163502654
141.24810695648193,-28.22402764827862,76.47838739792019
158.48875045776367,-29.675974346874384,77.87731736760459
177.83045768737793,-30.8639713992058,80.2057682095768
199.52654838562012,-32.22012876755961,82.73785112007067
223.8750457763672,-32.86716470943071,84.36653869854015
251.18887424468994,-34.57624049809249,86.52897305524299
281.84056282043457,-35.69157313329352,88.58397520160202
316.23244285583496,-36.86052236772719,91.07117943120264
354.81154918670654,-37.755060251394646,94.04592609182929
398.11432361602783,-38.728920167438375,94.71573706331287
446.67720794677734,-39.06511582776458,96.83160470078579
501.18565559387207,-40.2206821758459,99.59397632318844
562.3400211334229,-41.331089405418446,101.6933508268983
630.9598684310913,-42.516382873913834,105.30949398362756
707.9392671585083,-43.70924528119702,104.47357207618539
794.3212985992432,-44.14401075206093,110.55744495786257
891.2533521652222,-46.03076686182695,112.33032269718618
1000.0020265579224,-47.31394197857959,115.14271112521314
1122.012734413147,-43.72976464257779,122.9943370054917
1258.9246034622192,-46.91107353068405,117.32287489311867
1412.5406742095947,-45.85224329029893,123.57274740141942
1584.8875045776367,-45.642591254697905,125.99932703116902
1778.2747745513916,-46.91922032352194,132.81260717339188
1995.2654838562012,-47.43570363659778,133.21156648537996
2238.720655441284,-47.15605508312051,140.0057436668426
2511.8887424468994,-47.87236589208935,136.2703261202851
2818.375825881958,-47.21469549835183,135.5212016713559
3162.279725074768,-47.11574487560863,135.6308234177381
3548.1303930282593,-48.072838708429025,137.44921577021466
3981.068730354309,-49.14792723758364,134.31685312668753
4466.831684112549,-50.06715972004685,128.5331844200667
5011.871457099915,-48.11801065071181,136.0138814851379
5623.415112495422,-48.6111732355543,129.87416369555783
6309.568881988525,-48.45645171987854,133.30506015586815
7079.452276229858,-49.457626653349315,118.12189167665895
7943.287491798401,-48.040533205905305,125.54955037554593
8912.503719329834,-45.16793015666358,114.93458606376052
10000.00536441803,-49.96905400822637,91.48631930646401
